HomeTeam,Season_Code,League,Date,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR,B365H,B365D,B365A,B365>2.5,B365<2.5,Home_Elo,Away_Elo,Elo_Diff,Home_Roll5_GF,Away_Roll5_GF,Home_Roll5_GA,Away_Roll5_GA,Home_Roll5_Shots,Away_Roll5_Shots,Home_Roll5_SoT,Away_Roll5_SoT,Home_Rest_Days,Away_Rest_Days
AFC Wimbledon,2526,League One,2026-05-02,Huddersfield,0,4,A,0,1,A,3,21,1,9,5,3,17,8,2,1,0,0,2.65,3.75,2.25,1.75,2.05,1210.1196013283247,1307.5193052680163,-97.39970393969156,0.4,2.0,1.8,2.4,8.4,15.0,2.4,4.4,7.0,7.0
Accrington,2223,League One,2023-04-29,Cambridge,1,2,A,0,1,A,15,15,6,6,6,4,18,11,2,2,0,0,2.6,3.4,2.7,2.05,1.75,1206.150274151339,1213.601559504189,-7.451285352849709,0.8,1.4,2.2,1.4,14.2,11.4,4.0,5.0,4.0,7.0
Arsenal,2526,Premier League,2026-05-18,Burnley,1,0,H,1,0,H,13,5,3,0,3,3,7,16,1,3,0,0,1.09,11.0,23.0,1.33,3.4,1856.37233146558,1507.0935821891012,349.2787492764785,1.4,0.8,0.8,2.4,13.6,9.4,4.6,3.6,8.0,8.0
Aston Villa,2526,Premier League,2026-05-15,Liverpool,4,2,H,1,0,H,14,16,9,5,4,9,12,9,3,1,0,0,2.75,3.5,2.4,1.73,2.1,1687.0215669924128,1736.661470906635,-49.63990391422226,1.6,2.0,1.8,1.2,12.0,12.4,4.2,4.4,5.0,6.0
Barnsley,2526,League One,2026-05-02,Stockport,1,3,A,0,1,A,9,14,5,9,5,11,11,11,1,3,0,0,3.4,4.2,1.81,1.53,2.4,1269.534728477746,1358.770930054499,-89.23620157675327,0.8,1.8,1.0,1.4,12.2,18.0,3.0,6.6,4.0,4.0
Birmingham,2526,Championship,2026-04-25,Bristol City,2,1,H,2,0,H,11,9,6,2,6,5,10,8,3,1,0,0,1.68,3.8,4.75,1.8,2.0,1453.188788428093,1427.526913302035,25.66187512605802,1.2,1.4,1.0,1.4,13.0,10.4,5.4,5.2,3.0,4.0
Blackburn,2526,Championship,2026-05-02,Leicester,0,1,A,0,0,D,12,22,3,9,9,11,7,6,1,1,0,0,2.1,3.5,3.2,1.8,2.0,1427.169578444222,1365.2112759493073,61.95830249491473,1.0,0.8,1.2,1.2,9.0,17.4,2.6,5.6,10.0,8.0
Blackpool,2526,League One,2026-04-25,Leyton Orient,1,0,H,1,0,H,17,12,8,1,6,4,11,12,1,3,0,0,2.57,2.85,2.82,1.98,1.88,1312.025586550052,1264.177649417251,47.84793713280124,1.2,0.4,0.4,1.2,9.8,9.2,3.4,3.0,7.0,7.0
Bolton,2526,League One,2026-05-02,Luton,2,3,A,2,1,H,24,12,12,5,5,3,17,17,4,3,0,0,2.4,4.0,2.35,1.57,2.35,1384.1050095304718,1383.5594165787068,0.545592951765002,2.2,2.2,1.8,0.8,16.8,20.0,4.4,5.8,7.0,7.0
Bournemouth,2526,Premier League,2026-05-19,Man City,1,1,D,1,0,H,10,14,2,5,7,6,16,7,4,2,0,0,4.5,4.33,1.67,1.44,2.75,1743.8939449948557,1862.546400863589,-118.65245586873355,2.0,2.4,0.8,0.8,12.6,20.8,4.6,6.4,10.0,6.0
Bradford,2526,League One,2026-04-25,Bolton,1,1,D,0,0,D,12,17,2,3,6,5,13,11,2,2,0,0,2.57,3.1,2.65,1.9,1.95,1328.2487626528002,1386.775036688481,-58.52627403568045,1.2,2.4,1.0,1.8,13.0,15.2,4.6,4.2,4.0,7.0
Brentford,2526,Premier League,2026-05-17,Crystal Palace,2,2,D,1,1,D,14,16,3,5,9,4,7,5,1,3,0,0,1.73,4.2,4.33,1.67,2.2,1678.7039389573067,1628.578568969334,50.12536998797282,1.2,0.6,1.4,2.2,12.0,11.4,4.0,3.8,8.0,4.0
Brighton,2526,Premier League,2026-05-24,Man United,0,3,A,0,2,A,13,11,2,7,0,3,11,8,0,1,0,0,1.85,4.2,3.6,1.5,2.63,1688.8714333393775,1769.7694355003016,-80.89800216092385,1.8,1.8,1.2,1.0,14.2,14.6,6.0,4.4,7.0,7.0
Bristol City,2526,Championship,2026-05-02,Stoke,2,0,H,1,0,H,13,16,5,2,2,15,7,13,1,3,0,0,1.91,3.7,3.6,1.62,2.3,1412.706541981041,1355.5789841223366,57.12755785870445,1.2,0.6,1.6,2.2,8.8,9.6,4.0,2.0,7.0,7.0
Bristol Rvs,2425,League One,2025-04-26,Reading,0,2,A,0,0,D,16,11,5,6,5,5,12,14,1,1,0,0,3.0,3.5,2.2,1.8,2.0,1187.0321451252707,1378.9898125541636,-191.9576674288928,0.6,1.8,1.4,0.6,8.6,11.2,2.0,3.8,5.0,5.0
Burnley,2526,Premier League,2026-05-24,Wolves,1,1,D,0,1,A,16,16,8,4,7,7,10,11,2,2,0,0,2.35,3.5,2.9,1.73,2.1,1503.314592674399,1511.2763155632565,-7.961722888857366,0.8,0.4,2.2,1.8,8.4,10.8,2.6,3.0,6.0,7.0
Burton,2526,League One,2026-04-25,Exeter,1,1,D,0,1,A,16,6,5,1,3,1,11,11,0,1,0,0,1.91,3.5,3.7,1.8,2.0,1276.1363198356,1245.2291621759134,30.907157659686614,0.6,1.6,0.6,1.2,9.8,11.2,2.8,4.2,6.0,7.0
