Season_Code,League,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR,B365H,B365D,B365A,B365>2.5,B365<2.5,Home_Elo,Away_Elo,Elo_Diff,Home_Roll5_GF,Away_Roll5_GF,Home_Roll5_GA,Away_Roll5_GA,Home_Roll5_Shots,Away_Roll5_Shots,Home_Roll5_SoT,Away_Roll5_SoT,Home_Rest_Days,Away_Rest_Days
2122,League One,2021-08-14,Milton Keynes Dons,Sunderland,1,2,A,0,1,A,17,7,8,5,6,7,8,12,2,4,0,0,3.4,3.4,2.15,2.02,1.91,1300.0,1316.0,-16.0,3.0,2.0,3.0,1.0,10.0,16.0,4.0,3.0,7.0,7.0
2122,League One,2021-08-14,Portsmouth,Crewe,2,0,H,0,0,D,15,4,5,1,6,3,10,9,0,1,0,0,1.75,3.75,4.5,2.06,1.87,1316.0,1300.0,16.0,1.0,1.0,0.0,1.0,9.0,7.0,2.0,1.0,7.0,7.0
2122,League One,2021-08-14,Morecambe,Shrewsbury,2,0,H,2,0,H,10,11,6,1,4,7,13,18,2,3,0,0,2.9,3.3,2.45,2.1,1.7,1300.0,1284.0,16.0,2.0,0.0,2.0,1.0,6.0,12.0,2.0,2.0,7.0,7.0
2122,League One,2021-08-14,Oxford,Charlton,2,1,H,2,1,H,11,10,5,3,5,6,10,16,2,2,0,0,2.4,3.3,3.0,2.02,1.91,1300.0,1300.0,0.0,1.0,0.0,1.0,0.0,11.0,11.0,3.0,0.0,7.0,7.0
2122,League One,2021-08-14,Plymouth,Gillingham,1,0,H,0,0,D,17,5,3,1,9,5,8,11,1,2,0,0,2.62,3.4,2.62,1.8,2.0,1284.0,1300.0,-16.0,0.0,1.0,2.0,1.0,7.0,17.0,2.0,6.0,7.0,7.0
2122,League One,2021-08-14,Sheffield Weds,Doncaster,2,0,H,0,0,D,11,12,4,3,6,4,13,13,0,3,0,0,1.7,3.8,5.0,2.01,1.92,1300.0,1284.0,16.0,0.0,1.0,0.0,2.0,6.0,9.0,1.0,1.0,7.0,7.0
2122,League One,2021-08-14,Lincoln,Fleetwood Town,2,1,H,0,1,A,9,11,3,7,3,4,8,16,3,3,0,0,2.1,3.3,3.8,2.1,1.7,1300.0,1284.0,16.0,1.0,0.0,1.0,1.0,10.0,13.0,4.0,4.0,7.0,7.0
2122,League One,2021-08-14,Cheltenham,Wycombe,1,3,A,1,1,D,13,11,6,6,7,8,9,9,2,0,0,0,3.1,3.2,2.4,2.15,1.66,1300.0,1316.0,-16.0,1.0,2.0,1.0,1.0,12.0,17.0,6.0,4.0,7.0,7.0
2122,League One,2021-08-14,Wigan,Rotherham,1,0,H,0,0,D,9,11,2,2,4,6,15,16,4,1,0,0,2.62,3.4,2.62,1.99,1.94,1284.0,1316.0,-32.0,1.0,2.0,2.0,0.0,8.0,18.0,3.0,6.0,7.0,7.0
2122,League One,2021-08-14,AFC Wimbledon,Bolton,3,3,D,1,2,A,16,8,4,4,6,3,12,9,4,2,0,0,2.75,3.25,2.62,2.1,1.7,1316.0,1300.0,16.0,2.0,3.0,1.0,3.0,6.0,17.0,3.0,4.0,7.0,7.0
